Model,Dataset,Total Frame Rate,Overall Acc: 	,Mean Acc : 	,FreqW Acc : 	,Mean IoU : 	,Class 0 IoU,Class 1 IoU,Class 2 IoU,Class 3 IoU,Class 4 IoU,Class 5 IoU,Class 6 IoU,Class 7 IoU,Class 8 IoU,Class 9 IoU,Class 10 IoU,Class 11 IoU,Class 12 IoU,Class 13 IoU,Class 14 IoU,Class 15 IoU,Class 16 IoU,Class 17 IoU,Class 18 IoU
hardnet70_cityscapes_model,wild_dash,0.4724677408712122,0.49588241249054577,0.3014370861079734,0.37650427181322094,0.16821207567419494,0.3775390755460557,0.279297722276651,0.3538312330099311,0.001304741629121367,0.009320890054375072,0.31055231673339423,0.0,0.0,0.3857289903423305,0.4692006735679276,0.4634681461465969,0.09265216020182908,0.0,0.32026517697283174,0.1328683113286598,0.0,0.0,0.0,0.0
hardnet70_cityscapes_model,cityscapes,0.3401493318154146,0.9684753248294988,0.8199335272386783,0.9440006060426519,0.692680217261895,0.9789800932567221,0.7901690627491117,0.9489224379407387,0.0,0.5969527041983325,0.5112117115891146,0.6748820326678766,0.7712712036223559,0.9435036339551036,0.16793583104883744,0.9597271580878138,0.744137625901153,0.7408904345646521,0.9598541315981951,0.7454729254571026,0.9195901056605624,0.9496158206323214,0.18036472645515864,0.577442488590854
hardnet70_cityscapes_model,cityscapes,0.6414269687224946,0.9684753248294988,0.8199335272386783,0.9440006060426519,0.692680217261895,0.9789800932567221,0.7901690627491117,0.9489224379407387,0.0,0.5969527041983325,0.5112117115891146,0.6748820326678766,0.7712712036223559,0.9435036339551036,0.16793583104883744,0.9597271580878138,0.744137625901153,0.7408904345646521,0.9598541315981951,0.7454729254571026,0.9195901056605624,0.9496158206323214,0.18036472645515864,0.577442488590854
bisenetv2,wild_dash,0.2803796259385877,0.09233638676410826,0.059737361305780695,0.046112238575452415,0.015293701885867343,0.1650646359890243,0.013890248990606693,0.022295274468657013,3.2586735026395254e-05,0.0,0.0032156156092008567,0.0,0.0,0.009329919609941098,0.0,0.026570439729841376,0.0007752867757343895,0.011530647665061467,0.019495317679599517,0.014133520740382178,0.0,0.0,0.004246841838404252,0.0
bisenetv2,wild_dash,0.27963297713153407,0.09233638676410826,0.059737361305780695,0.046112238575452415,0.015293701885867343,0.1650646359890243,0.013890248990606693,0.022295274468657013,3.2586735026395254e-05,0.0,0.0032156156092008567,0.0,0.0,0.009329919609941098,0.0,0.026570439729841376,0.0007752867757343895,0.011530647665061467,0.019495317679599517,0.014133520740382178,0.0,0.0,0.004246841838404252,0.0
bisenetv2,wild_dash,0.28675090662751024,0.09233638676410826,0.059737361305780695,0.046112238575452415,0.015293701885867343,0.1650646359890243,0.013890248990606693,0.022295274468657013,3.2586735026395254e-05,0.0,0.0032156156092008567,0.0,0.0,0.009329919609941098,0.0,0.026570439729841376,0.0007752867757343895,0.011530647665061467,0.019495317679599517,0.014133520740382178,0.0,0.0,0.004246841838404252,0.0
bisenetv2,wild_dash,0.2622585432471039,0.09233638676410826,0.059737361305780695,0.046112238575452415,0.015293701885867343,0.1650646359890243,0.013890248990606693,0.022295274468657013,3.2586735026395254e-05,0.0,0.0032156156092008567,0.0,0.0,0.009329919609941098,0.0,0.026570439729841376,0.0007752867757343895,0.011530647665061467,0.019495317679599517,0.014133520740382178,0.0,0.0,0.004246841838404252,0.0
